fecha,hora,cantidad,otro1,otro2,otro3,otro4
12/07/2017,06:10:00.00,11620302.32706,11.62030,7.69622,97.98333,1414.21360
15/07/2017,03:35:00.00,486395.38654,0.48640,21.52185,98.78679,1000.00000
16/07/2017,05:45:00.00,1419844.97214,1.41984,50.85388,100.20337,2000.00000
17/07/2017,03:20:00.00,485299.37254,0.48530,6.70939,80.42958,1414.21360
19/07/2017,06:15:00.00,1266420.74282,1.26642,6.82732,80.85382,1000.00000
20/07/2017,03:50:00.00,6081842.66195,6.08184,50.98627,100.49909,2236.06800
21/07/2017,02:55:00.00,1469473.26585,1.46947,50.61072,83.34166,2236.06800
21/07/2017,06:00:00.00,2945115.21576,2.94512,21.43102,98.90021,1000.00000
23/07/2017,05:50:00.00,3246586.52029,3.24659,43.03677,99.78148,2000.00000
24/07/2017,03:30:00.00,1875407.41234,1.87541,8.00089,97.70895,1414.21360
25/07/2017,05:35:00.00,2442884.41669,2.44288,57.16937,100.65269,2000.00000
26/07/2017,03:15:00.00,16202033.09975,16.20203,20.40399,81.70458,2236.06800
26/07/2017,06:20:00.00,6419281.46801,6.41928,20.63267,81.84426,1414.21360
28/07/2017,03:05:00.00,11056116.49854,11.05612,42.48624,82.86154,2828.42710
28/07/2017,06:10:00.00,14540869.14126,14.54087,7.76706,98.00250,2000.00000
30/07/2017,02:50:00.00,7479962.39118,7.47996,56.96703,83.77146,2236.06800
30/07/2017,05:55:00.00,13124057.71141,13.12406,33.31631,99.35097,2000.00000
30/07/2017,18:10:00.00,12589413.95015,12.58941,42.45926,82.87062,1000.00000
31/07/2017,06:40:00.00,1982525.80204,1.98253,50.64742,83.05511,2236.06800
02/08/2017,06:25:00.00,15208587.26809,15.20859,32.72584,82.27551,1414.21360
03/08/2017,04:05:00.00,2635640.96763,2.63564,62.51690,101.48008,2236.06800
03/08/2017,05:30:00.00,32624512.56542,32.62451,62.34531,101.10770,4472.13600
03/08/2017,14:55:00.00,34391964.79735,34.39196,21.46144,99.04097,1000.00000
04/08/2017,03:10:00.00,26301178.57036,26.30118,32.39070,82.34003,2828.42710
04/08/2017,06:15:00.00,15002665.70470,15.00267,6.82816,80.85282,1414.21360
06/08/2017,02:55:00.00,6763444.98438,6.76344,50.43249,83.34113,3162.27770
06/08/2017,06:00:00.00,19086877.45088,19.08688,21.42936,98.90482,1414.21360
07/08/2017,03:40:00.00,15775958.66505,15.77596,33.72862,99.45267,2236.06800
07/08/2017,06:45:00.00,3805366.81955,3.80537,57.11096,83.43540,2236.06800
08/08/2017,02:45:00.00,16014337.84050,16.01434,62.24550,84.18649,5099.01950
08/08/2017,05:50:00.00,20612620.00364,20.61262,43.03512,99.77677,2000.00000
09/08/2017,06:30:00.00,14970371.80309,14.97037,42.68721,82.67441,1000.00000
10/08/2017,05:35:00.00,3044278.75651,3.04428,57.17105,100.65253,2000.00000
11/08/2017,03:15:00.00,11877157.80064,11.87716,20.14468,81.69022,2236.06800
11/08/2017,06:20:00.00,52629212.88191,52.62921,20.70610,81.84542,2000.00000
12/08/2017,04:00:00.00,1826182.93867,1.82618,57.43184,101.01850,2000.00000
13/08/2017,03:05:00.00,8443567.48113,8.44357,42.30883,82.85401,2828.42710
13/08/2017,06:10:00.00,14668475.53177,14.66848,7.69645,97.99276,1414.21360
13/08/2017,18:20:00.00,18092674.20227,18.09267,20.25304,81.77466,1414.21360
14/08/2017,03:45:00.00,4964673.31518,4.96467,43.45257,99.99338,2236.06800
15/08/2017,02:50:00.00,2245343.08552,2.24534,56.86116,83.75768,2828.42710
15/08/2017,05:55:00.00,9609522.21254,9.60952,33.30778,99.34738,2000.00000
